Delta Code            | Hex Code             
V4M                   | V4N                  
V4N                   | V4N                  
V4P                   | V6M                  
V5K                   | V5P                  
V5M                   | V5P                  
V5N                   | V6M                  
V5P                   | V5P                  
V6K                   | V7K                  
V6M                   | V6M                  
V6N                   | V7K                  
V6P                   | V7K                  
V7K                   | V7K                  
V7M                   | Z7M                  
V7N                   | V7K                  
V7P                   | V7K                  
V8K                   | TCN                  
V8M                   | TCN                  
V8N                   | TCN                  
V8P                   | V6M                  
VAK                   | RGP                  
VAM                   | RGP                  
VAN                   | V6M                  
VAP                   | RGP                  
VBK                   | VBN                  
VBM                   | VBN                  
VBN                   | VBN                  
VBP                   | T8M                  
VCK                   | V5P                  
VCM                   | V5P                  
VCN                   | T8M                  
VCP                   | V5P                  
VDK                   | -                    
VDM                   | T8M                  
VDN                   | -                    
VDP                   | -                    
VEK                   | VBN                  
VEM                   | VBN                  
VEN                   | VBN                  
VEP                   | -                    
VFK                   | VFP                  
VFM                   | VFP                  
VFN                   | RAM                  
VFP                   | VFP                  
VGK                   | V4N                  
VGM                   | V4N                  
VGN                   | V4N                  
VGP                   | RAM                  
VHK                   | VFP                  
VHM                   | VFP                  
VHN                   | -                    
VHP                   | VFP                  
VJK                   | -                    
VJM                   | RAM                  
VJN                   | -                    
VJP                   | -                    
T2K                   | T2P                  
T2M                   | T2P                  
T2N                   | TEM                  
T2P                   | T2P                  
T3K                   | THN                  
T3M                   | THN                  
T3N                   | THN                  
T3P                   | TEM                  
T4K                   | T2P                  
T4M                   | T2P                  
T4N                   | TGM                  
T4P                   | T2P                  
T5K                   | T5K                  
T5M                   | TEM                  
T5N                   | T5K                  
T5P                   | T5K                  
T6K                   | TAN                  
T6M                   | TAN                  
T6N                   | TAN                  
T6P                   | T8M                  
T7K                   | T7P                  
T7M                   | T7P                  
T7N                   | T8M                  
T7P                   | T7P                  
T8K                   | T5K                  
T8M                   | T8M                  
T8N                   | T5K                  
T8P                   | T5K                  
TAK                   | TAN                  
TAM                   | TAN                  
TAN                   | TAN                  
TAP                   | TGM                  
TBK                   | TDP                  
TBM                   | TDP                  
TBN                   | TEM                  
TBP                   | TDP                  
TCK                   | TCN                  
